Название;Континент;Столица;Площадь_км2;Население
Германия;Европа;Берлин;1311465;191715790
Франция;Европа;Париж;9486529;26988033
Италия;Европа;Рим;9572480;161248875
Испания;Европа;Мадрид;7211187;143678998
Польша;Европа;Варшава;5143715;144714751
Швеция;Европа;Стокгольм;8889348;128162440
Норвегия;Европа;Осло;3932479;39637692
Финляндия;Европа;Хельсинки;9565309;141634150
Великобритания;Европа;Лондон;434662;37106052
Австрия;Европа;Вена;7849497;121623443
Бельгия;Европа;Брюссель;7915391;187539646
Швейцария;Европа;Берн;3824174;77681163
Греция;Европа;Афины;6377654;184413058
Чехия;Европа;Прага;3903214;164261089
Венгрия;Европа;Будапешт;3900303;77805328
Португалия;Европа;Лиссабон;2249882;95140170
Нидерланды;Европа;Амстердам;3077416;122457278
Ирландия;Европа;Дублин;5066596;72939234
Дания;Европа;Копенгаген;4633001;37804724
Хорватия;Европа;Загреб;3183153;1544768
Китай;Азия;Пекин;7071440;115503049
Индия;Азия;Нью-Дели;3002970;21791276
Япония;Азия;Токио;6888961;56587070
Казахстан;Азия;Астана;7258016;68003921
Турция;Азия;Анкара;5085920;170064971
Иран;Азия;Тегеран;596661;162627308
Индонезия;Азия;Джакарта;5367366;38090409
Саудовская Аравия;Азия;Эр-Рияд;4347035;157262118
Таиланд;Азия;Бангкок;7805355;131911077
Вьетнам;Азия;Ханой;6393365;173604109
Южная Корея;Азия;Сеул;3782634;84853517
Малайзия;Азия;Куала-Лумпур;8424074;107262599
Филиппины;Азия;Манила;1969838;111739110
Пакистан;Азия;Исламабад;4465599;47563529
Монголия;Азия;Улан-Батор;2419440;1995560
Непал;Азия;Катманду;9142925;187885769
Шри-Ланка;Азия;Коломбо;8873139;94863215
Сингапур;Азия;Сингапур;5106090;144570794
Израиль;Азия;Иерусалим;8795942;15188801
ОАЭ;Азия;Абу-Даби;6080171;80314358
Египет;Африка;Каир;5320845;37465464
Нигерия;Африка;Абуджа;9714672;92682751
ЮАР;Африка;Претория;4365067;152861123
Кения;Африка;Найроби;9183764;157693508
Эфиопия;Африка;Аддис-Абеба;4883350;89570112
Марокко;Африка;Рабат;9863536;97866681
Тунис;Африка;Тунис;8054755;59460547
Гана;Африка;Аккра;8783776;149666684
Алжир;Африка;Алжир;5478142;21358553
Ангола;Африка;Луанда;7534306;137177526
Судан;Африка;Хартум;5295154;112724393
Замбия;Африка;Лусака;8195510;105411920
Танзания;Африка;Додома;2229875;55074992
Мозамбик;Африка;Мапуту;8449299;59116641
Намибия;Африка;Виндхук;5400154;130003324
Сенегал;Африка;Дакар;2143242;140607490
Уганда;Африка;Кампала;110686;12932911
Камерун;Африка;Яунде;6123547;180119253
Мали;Африка;Бамако;7119367;75699848
Ботсвана;Африка;Габороне;8081488;42304939
США;Северная Америка;Вашингтон;4212317;39328051
Канада;Северная Америка;Оттава;8392325;173916898
Мексика;Северная Америка;Мехико;6747500;150865179
Куба;Северная Америка;Гавана;6438578;147000588
Доминикана;Северная Америка;Санто-Доминго;1636290;87010440
Гватемала;Северная Америка;Гватемала;8602653;184726169
Коста-Рика;Северная Америка;Сан-Хосе;4152062;186947058
Гаити;Северная Америка;Порт-о-Пренс;3293766;86407981
Панама;Северная Америка;Панама;874857;150308788
Белиз;Северная Америка;Бельмопан;3461029;38993272
Ямайка;Северная Америка;Кингстон;1640190;108432385
Гондурас;Северная Америка;Тегусигальпа;9793235;97769466
Никарагуа;Северная Америка;Манагуа;8831050;32662005
Барбадос;Северная Америка;Бриджтаун;7602797;31580035
Тринидад и Тобаго;Северная Америка;Порт-оф-Спейн;5307494;71878190
Бразилия;Южная Америка;Бразилиа;9629829;156006242
Аргентина;Южная Америка;Буэнос-Айрес;173822;4986222
Перу;Южная Америка;Лима;5133665;141195036
Чили;Южная Америка;Сантьяго;5112827;21297015
Колумбия;Южная Америка;Богота;3906092;37910055
Венесуэла;Южная Америка;Каракас;5014114;69244374
Парагвай;Южная Америка;Асунсьон;7451784;151220755
Уругвай;Южная Америка;Монтевидео;2145269;177474887
Боливия;Южная Америка;Сукре;594136;181442520
Эквадор;Южная Америка;Кито;4506903;72090941
Гайана;Южная Америка;Джорджтаун;3956837;109902401
Суринам;Южная Америка;Парамарибо;2801244;190743945
Австралия;Океания;Канберра;3427721;64216626
Новая Зеландия;Океания;Веллингтон;694637;120910039
Фиджи;Океания;Сува;8214679;4588703
Самоа;Океания;Апиа;9335032;177792145
Папуа-Новая Гвинея;Океания;Порт-Морсби;7823724;165382024
Тонга;Океания;Нукуалофа;6678515;91974662
Вануату;Океания;Порт-Вила;3501472;82204968
Палау;Океания;Нгерулмуд;9687744;40752652
Науру;Океания;Ярен;8558277;181884828
Кирибати;Океания;Тарава;4064635;97562282
Намибия_0;Африка;Виндхук;5399222;130494786
Намибия_1;Африка;Виндхук;5400827;130299582
Мексика_2;Северная Америка;Мехико;6747355;150439670
Науру_3;Океания;Ярен;8557647;181737808
Мексика_2_4;Северная Америка;Мехико;6748319;150792297
Бельгия_5;Европа;Брюссель;7914891;187107032
Мексика_2_6;Северная Америка;Мехико;6746995;150392380
Марокко_7;Африка;Рабат;9863527;97789087
Пакистан_8;Азия;Исламабад;4465832;47246656
Норвегия_9;Европа;Осло;3931814;39549147
